	brewery_type	city	country	id	latitude	longitude	name	phone	postal_code	state	street	tag_list	updated_at	website_url	Unnamed: 0	name_on_yelp	yelp_business_id	yelp_rating	yelp_review_count	yelp_closed_status
0	brewpub	Agoura Hills	United States	757	34.1451193082735	-118.779913319513	LAB Brewing Co / Twisted Oak Tavern	8187350091	91301-2003	California	30105 Agoura Rd	[]	2018-08-23 23:58:41.134	http://www.twistedoaktavern.pub	0	Twisted Oak Tavern	_4C85CXH5_mIY_dbWQ8HlA	4.0	397	False
1	brewpub	Agoura Hills	United States	758	34.1440421589215	-118.766153587872	Ladyface Ale Companie	8184774566	91301-2597	California	29281 Agoura Rd	[]	2018-08-23 23:58:42.021	http://www.ladyfaceale.com	1	Ladyface Alehouse & Brasserie	iw667W0AGliJ-TPxDu5JGQ	3.5	959	False
2	micro	Alameda	United States	292	37.7683363123474	-122.239450559516	Alameda Island Brewing Company	5102178885	94501-1416	California	1716 Park St	[]	2018-08-23 23:24:05.893	http://www.alamedaislandbrewingcompany.com	2	Alameda Island Brewing Company	LgFUgPXhXk8VS8JJEJrxzw	4.5	299	False
3	micro	Alameda	United States	299	37.7834497667258	-122.306283180899	Almanac Beer Company	4159326531	94501-5047	California	651B W Tower Ave	[]	2018-08-23 23:24:11.758	http://almanacbeer.com	3	The Rake at Admiral Maltings	9S3xB2_dQduzRVMe6m6ZeA	4.5	34	False
4	micro	Alameda	United States	579	37.7866722	-122.3097077	Faction Brewing Co	5105232739	94501-5098	California	2501 Monarch St Ste 200	[]	2018-08-23 23:28:09.182	http://www.factionbrewing.com	4	Faction Brewing	eOs3gVvWZGwur8ZsrhHDuw	4.5	476	False
5	brewpub	American Canyon	United States	725	38.1658134	-122.261689	Junction Brewery & Grill	7076492285	94503-4196	California	110 W American Canyon Rd	[]	2018-08-23 23:58:13.080	http://www.junctionbreweryandgrill.com	5	Junction Brewery and Grill	XyqK3TnpcUhViuyGrWzlhQ	3.5	240	False
6	micro	Anaheim	United States	333	33.7998367777778	-117.896089444444	Back Street Brewery & Tasting Room	6572364050	92805-6726	California	1884 S Santa Cruz St	[]	2018-08-23 23:24:45.724	http://www.backstreetbrew.com	6	Backstreet Brewery	S_v3CYgl_MFgoSqJMAyeEQ	4.5	183	False
7	micro	Anaheim	United States	313	33.8328226	-117.9125249	Anaheim Brewery	7147801888	92805-3830	California	336 S Anaheim Blvd	[]	2018-08-23 23:24:24.709	http://www.anaheimbrew.com	7	Anaheim Brewery	59GX_ro4Rmwj9DuhdIZIBA	4.0	298	False
8	planning	Anaheim	United States	339	33.8347516	-117.911732	Ballast Point Brewing Company		92802-2294	California		[]	2018-08-23 23:24:50.617		8	Ballast Point Anaheim	Dn6mk8tUQKKn9dVOZzMfzQ	3.0	310	False
9	planning	Anaheim	United States	339	33.8347516	-117.911732	Ballast Point Brewing Company		92802-2294	California		[]	2018-08-23 23:24:50.617		156	Ballast Point Long Beach	THw7jYNlexStDb6YlQ6pzA	3.5	2156	False
10	planning	Anaheim	United States	339	33.8347516	-117.911732	Ballast Point Brewing Company		92802-2294	California		[]	2018-08-23 23:24:50.617		312	Ballast Point Miramar	1Zx3bCuu7e8Wg2qxCKW6nA	4.0	1808	False
11	planning	Anaheim	United States	339	33.8347516	-117.911732	Ballast Point Brewing Company		92802-2294	California		[]	2018-08-23 23:24:50.617		313	Ballast Point Miramar	1Zx3bCuu7e8Wg2qxCKW6nA	4.0	1808	False
12	large	Long Beach	United States	337	33.7464176	-118.114750993963	Ballast Point Brewing Company	8586952739	90803-4601	California	110 N Marina Dr	[]	2018-08-23 23:24:49.381	http://www.ballastpoint.com	8	Ballast Point Anaheim	Dn6mk8tUQKKn9dVOZzMfzQ	3.0	310	False
13	large	Long Beach	United States	337	33.7464176	-118.114750993963	Ballast Point Brewing Company	8586952739	90803-4601	California	110 N Marina Dr	[]	2018-08-23 23:24:49.381	http://www.ballastpoint.com	156	Ballast Point Long Beach	THw7jYNlexStDb6YlQ6pzA	3.5	2156	False
14	large	Long Beach	United States	337	33.7464176	-118.114750993963	Ballast Point Brewing Company	8586952739	90803-4601	California	110 N Marina Dr	[]	2018-08-23 23:24:49.381	http://www.ballastpoint.com	312	Ballast Point Miramar	1Zx3bCuu7e8Wg2qxCKW6nA	4.0	1808	False
15	large	Long Beach	United States	337	33.7464176	-118.114750993963	Ballast Point Brewing Company	8586952739	90803-4601	California	110 N Marina Dr	[]	2018-08-23 23:24:49.381	http://www.ballastpoint.com	313	Ballast Point Miramar	1Zx3bCuu7e8Wg2qxCKW6nA	4.0	1808	False
16	large	San Diego	United States	336	32.887980832974	-117.158725107822	Ballast Point Brewing Company	8586952739	92121-2405	California	9045 Carroll Way	[]	2018-08-23 23:24:48.016	http://www.ballastpoint.com	8	Ballast Point Anaheim	Dn6mk8tUQKKn9dVOZzMfzQ	3.0	310	False
17	large	San Diego	United States	336	32.887980832974	-117.158725107822	Ballast Point Brewing Company	8586952739	92121-2405	California	9045 Carroll Way	[]	2018-08-23 23:24:48.016	http://www.ballastpoint.com	156	Ballast Point Long Beach	THw7jYNlexStDb6YlQ6pzA	3.5	2156	False
18	large	San Diego	United States	336	32.887980832974	-117.158725107822	Ballast Point Brewing Company	8586952739	92121-2405	California	9045 Carroll Way	[]	2018-08-23 23:24:48.016	http://www.ballastpoint.com	312	Ballast Point Miramar	1Zx3bCuu7e8Wg2qxCKW6nA	4.0	1808	False
19	large	San Diego	United States	336	32.887980832974	-117.158725107822	Ballast Point Brewing Company	8586952739	92121-2405	California	9045 Carroll Way	[]	2018-08-23 23:24:48.016	http://www.ballastpoint.com	313	Ballast Point Miramar	1Zx3bCuu7e8Wg2qxCKW6nA	4.0	1808	False
20	large	San Diego	United States	338	32.889641	-117.157081	Ballast Point Brewing Company	8586952739	92121-2405	California	7606 Trade St	[]	2018-08-23 23:24:50.216		8	Ballast Point Anaheim	Dn6mk8tUQKKn9dVOZzMfzQ	3.0	310	False
21	large	San Diego	United States	338	32.889641	-117.157081	Ballast Point Brewing Company	8586952739	92121-2405	California	7606 Trade St	[]	2018-08-23 23:24:50.216		156	Ballast Point Long Beach	THw7jYNlexStDb6YlQ6pzA	3.5	2156	False
